,name,github_id,category,labels,cargo_id,cargo_url,cargo_monthly_downloads,monthly_downloads,cargo_total_downloads,description,projectrank,show,projectrank_placing,npm_id,greasy_fork_id,npm_url,greasy_fork_url,trending,homepage,new_addition,gitlab_id,license,pypi_id,pypi_url,go_id,go_url
110,typst-conceal.vim,MrPicklePinosaur/typst-conceal.vim,writing,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
111,Typst Sympy Calculator,OrangeX4/vscode-typst-sympy-calculator,misc,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
112,Typst math VS Code Extension,supersurviveur/typst-math,math,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
113,typst.nvim,SeniorMars/typst.nvim,writing,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
114,Typstd,daskol/typstd,writing,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
115,leetcode.typ,lucifer1004/leetcode.typ,misc,,,,,,,,0,False,,,,,,,,,,,,,,
116,typst-rb,actsasflinn/typst-rb,coding,['api'],,,,,,,0,True,,,,,,,https://rubygems.org/gems/typst,,,,,,,
117,Typstry.jl,jakobjpeters/Typstry.jl,coding,['api'],,,,,,,0,False,,,,,,,,,,,,,,
118,Typst Matplotlib Backend,daskol/mpl-typst,coding,['api'],,,,,,,0,False,,,,,,,,,,,,,,
119,Typst HTTP API,slashformotion/typst-http-api,coding,"['runnable', 'web']",,,,,,,0,False,,,,,,,,,,,,,,
120,zeta ζ,lentilus/zeta,writing,"['extension', 'cli', 'runnable']",,,,,,,0,False,,,,,,,,,,,,,,
121,Nonsense™,SylvanFranklin/nonsense,misc,"['web', 'typst-package']",,,,,,,0,False,,,,,,,,,,,,,,
122,Pypst,tilman151/pypst,coding,['api'],,,,,,,0,False,,,,,,,,,,,pypst,https://pypi.org/project/pypst,,
123,Kvasir,LDemetrios/Kvasir,writing,"['extension', 'multilingual']",,,,,,Kvasir (/kwɑzer/) is an (unofficial) plugin for JetBrains platform adding support for Typst language.,0,False,,,,,,,,,,,,,,
